lokacija	broj_soba	kvadratura	sprat	novogradnja	centralno_grejanje	lift	parking	uknjizen	stanje	cena	klasa
Profesorska kolonija	2	60	III-IV	DA	DA	DA	DA	DA		1833.333333	1.7-2K
Vračar-Kalenić pijaca	3	90	V+	NE	DA	DA	DA	DA	2	1833.333333	1.7-2K
Cerak vinogradi	3	53	V+		DA	DA		DA		1830.188679	1.7-2K
Donji Dorćol	2	45	III-IV	DA	DA	DA				1822.222222	1.7-2K
Crveni krst	1	22	P	DA	DA	DA	NE		2	1818.181818	1.7-2K
Tašmajdan	1	33	V+	DA	DA	DA	NE	DA	1	1818.181818	1.7-2K
Vračar-Hram	2	55	I-II	NE	DA	DA		DA	0	1818.181818	1.7-2K
Vračar-Hram	3	77	I-II	NE	DA	DA		DA		1818.181818	1.7-2K
Vukov Spomenik	1	44	I-II	NE	NE				1	1818.181818	1.7-2K
Vukov Spomenik	3	70	I-II	NE	NE			DA	2	1814.285714	1.7-2K
Golf naselje	3	110	I-II	NE	DA		DA	DA		1813.636364	1.7-2K
Konjarnik-Denkova basta 	4	80	I-II		DA	DA	DA	DA		1812.5	1.7-2K
Golf naselje	2	34	III-IV	DA	NE	DA	NE			1811.764706	1.7-2K
Donji Dorćol	4	94	III-IV		NE	NE		DA	2	1808.510638	1.7-2K
Dušanovac	3	52	I-II	DA	DA	DA	DA	DA	2	1807.692308	1.7-2K
Slavija	1	26	V+	NE	NE			DA	1	1807.692308	1.7-2K
Vukov Spomenik	1	28	P	DA	DA			DA		1803.571429	1.7-2K
Lekino Brdo	3	61	III-IV	DA	DA	DA	DA	DA	1	1803.278689	1.7-2K
Dušanovac	2	45	P	NE	DA	DA		DA		1800	1.7-2K
Novi Beograd-Hotel Jugoslavija	3	75	III-IV	DA	DA			DA	2	1800	1.7-2K
Kalemegdan	2	75	I-II		DA	DA		DA		1800	1.7-2K
Kalemegdan	2	50	III-IV	NE	DA	DA		DA	1	1800	1.7-2K
Lekino Brdo	1	30	III-IV	DA	DA		DA	DA	1	1800	1.7-2K
Vračar-Hram	1	30	III-IV	DA	DA	DA				1800	1.7-2K
Profesorska kolonija	2	74	I-II	DA	DA	NE	DA	DA	1	1797.297297	1.7-2K
Centar-Stari grad	3	64	I-II		NE			DA	1	1796.875	1.7-2K
Dušanovac	1	29	P	DA	DA	NE		DA		1793.103448	1.7-2K
Kalemegdan	1	24	III-IV	NE	DA	DA		DA		1791.666667	1.7-2K
Tašmajdan	3	72	V+	NE	DA	DA	NE	DA	1	1791.666667	1.7-2K
Vračar-Hram	2	67	V+	NE	NE				0	1791.044776	1.7-2K
Novi Beograd-Hotel Jugoslavija	1	43	I-II	DA	DA	DA		DA	2	1790.697674	1.7-2K
Kalemegdan	2	53	I-II		DA	DA		DA		1790.566038	1.7-2K
Centar-Stari grad	1	52	I-II	NE	NE	NE	DA	DA	0	1788.461538	1.7-2K
Kalemegdan	4	94	I-II		DA	DA		DA		1787.234043	1.7-2K
Autokomanda	4	140	III-IV		DA	DA	DA	DA		1785.714286	1.7-2K
Donji Dorćol	1	28	III-IV		DA		DA	DA	0	1785.714286	1.7-2K
Slavija	1	42	P	NE	DA	DA		DA	1	1785.714286	1.7-2K
